incident_id,date_reported,customer_name,environment,service_module,incident_summary,incident_category,impact_scope,severity_level,detected_by,root_cause,resolution_steps,time_to_detect_ttd,time_to_resolve_ttr,preventive_actions,automation_suggestion,incident_tags,logs_or_errors,owner_resolver,linked_incidents,postmortem_link,gpt_insight_label
INC-2025-1854,21-11-2025 22:29,Delta Retail,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in APAC.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: p95 latency 1200ms.,P0,On-call Engineer,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",1h 8m,22m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,payment-gateway-service,apac,v3.3.2,incident",javax.net.ssl.SSLHandshakeException at line 154,DevOps Team A,,,Pattern: SSL Cert Expiry
INC-2025-1789,01-06-2025 15:17,HHFL,Production,redis-cache,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.2.1 in APAC.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: CPU 92%.,P1,Synthetic Monitor,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,43m,39m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,,"k8s-resource-saturation,infrastructure,redis-cache,apac,v3.2.1,incident",OOMKilled: Container killed due to out of memory,SRE Team A,,https://companywiki/postmortems/inc-2025-1789,Pattern: K8s Resource Saturation
INC-2026-0981,28-09-2026 01:29,Kappa Insurance,UAT,reporting-service,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v3.2.4 in APAC.,Database,Requests time out; partial outages for read/write paths. Metric: p95 latency 1200ms.,P0,AppDynamics Alert,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,1 Hr,14m,Load test; connection leak detection; set SLO alerts on pool utilization.,DBPoolGuard agent to detect leaks via metrics and suggest safe pool tuning.,"db-connection-pool-exhaustion,database,reporting-service,apac,v3.2.4,incident","HikariPool-1 - Connection is not available, request timed out after 30000ms",SRE Team A,,,Pattern: DB Connection Pool Exhaustion
INC-2026-0255,17-04-2026 02:33,Ummeed,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in US.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: memory 95%.,P1,SRE Team,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",11m,1h 55m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,payment-gateway-service,us,v3.3.2,incident",x509: certificate has expired or is not yet valid,PS Team,,https://companywiki/postmortems/inc-2026-0255,Pattern: SSL Cert Expiry
INC-2026-0606,14-09-2026 16:12,BOB,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.2.1 in IN.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: CPU 92%.,P2,AppDynamics Alert,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",10m,2h 56m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,payment-gateway-service,in,v3.2.1,incident",javax.net.ssl.SSLHandshakeException at line 154,PS Team,,https://companywiki/postmortems/inc-2026-0606,Pattern: SSL Cert Expiry
INC-2025-1245,26-11-2025 14:10,Au bank,Staging,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in APAC.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: 5xx spike 22%.,P0,On-call Engineer,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",10m,3 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,identity-service,apac,v3.3.2,incident",SSLHandshakeException: Received fatal alert: certificate_unknown,PS Team,,https://companywiki/postmortems/inc-2025-1245,Pattern: SSL Cert Expiry
INC-2025-0382,13-10-2025 16:59,Au bank,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.2.4 in IN.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: 5xx spike 22%.,P3,Synthetic Monitor,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",10m,2 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,payment-gateway-service,in,v3.2.4,incident",x509: certificate has expired or is not yet valid,Platform Team,,,
INC-2026-0133,03-10-2026 13:23,Sapphire Bank,Production,Network issue,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v4.0.0 in APAC.,Network issue,Users unable to access the application; 502/504 at edge. Metric: error rate 18%.,P2,Client,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,47m,2 Hr,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,apac,v4.0.0,incident",NXDOMAIN for api.company.com,DevOps Team A,,,Pattern: DNS / LB Misroute
INC-2025-0816,01-05-2025 02:47,Kappa Insurance,Staging,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.0 in US.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: p95 latency 1200ms.,P1,SRE Team,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",1h 11m,51m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,identity-service,us,v3.3.0,incident",x509: certificate has expired or is not yet valid,SRE Team B,,,Pattern: SSL Cert Expiry
INC-2025-0314,21-07-2025 05:03,Orion Logistics,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.0 in MEA.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: p95 latency 1200ms.,P1,On-call Engineer,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",1h 5m,2h 36m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,,"ssl-cert-expiry,deployment,payment-gateway-service,mea,v3.3.0,incident",x509: certificate has expired or is not yet valid,PS Team,"INC-2026-1359, INC-2025-1783",,Pattern: SSL Cert Expiry
INC-2026-1155,24-11-2026 04:56,ABC Financials,UAT,notifications-service,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.3.2 in MEA.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: 5xx spike 22%.,P0,Synthetic Monitor,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,1 Hr,2 Hr,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,,"k8s-resource-saturation,infrastructure,notifications-service,mea,v3.3.2,incident",CPU throttling high; request latency p95 elevated,DevOps Team B,"INC-2026-0486, INC-2025-0690",https://companywiki/postmortems/inc-2026-1155,Pattern: K8s Resource Saturation
INC-2026-0295,24-08-2026 14:29,Sapphire Bank,UAT,Webapi,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v3.3.0 in US.,Database,Requests time out; partial outages for read/write paths. Metric: 5xx spike 22%.,P1,PS Team,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,7m,1h 19m,Load test; connection leak detection; set SLO alerts on pool utilization.,DBPoolGuard agent to detect leaks via metrics and suggest safe pool tuning.,"db-connection-pool-exhaustion,database,webapi,us,v3.3.0,incident",SQLTransientConnectionException: timeout waiting for connection,DBA Team,"INC-2026-1903, INC-2025-1845",https://companywiki/postmortems/inc-2026-0295,
INC-2026-1184,29-12-2026 15:11,Delta Retail,Production,Webapi,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v3.3.2 in APAC.,Database,Requests time out; partial outages for read/write paths. Metric: p95 latency 1200ms.,P1,AppDynamics Alert,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,46m,17m,Load test; connection leak detection; set SLO alerts on pool utilization.,,"db-connection-pool-exhaustion,database,webapi,apac,v3.3.2,incident","HikariPool-1 - Connection is not available, request timed out after 30000ms",Network Team,,https://companywiki/postmortems/inc-2026-1184,
INC-2026-1100,21-04-2026 23:22,Equitas,UAT,payment-gateway-service,Upstream dependency degraded causing increased failures and retries. Observed after v3.2.1 in APAC.,Third-party,Partial failures; slow transactions; increased error rates. Metric: memory 95%.,P1,PS Team,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,1 Hr,2 Hr,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,payment-gateway-service,apac,v3.2.1,incident",Upstream timeout calling vendor API after 10s,DBA Team,,https://companywiki/postmortems/inc-2026-1100,
INC-2026-1628,25-05-2026 22:27,BOB,Production,payment-gateway-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v4.0.0 in IN.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: p95 latency 1200ms.,P1,On-call Engineer,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",18m,1h 28m,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,CertExpiryAgent to scan cert stores + CI gates; auto-create change tickets.,"ssl-cert-expiry,deployment,payment-gateway-service,in,v4.0.0,incident",SSLHandshakeException: Received fatal alert: certificate_unknown,Security Team,"INC-2025-0005, INC-2026-0450",,Pattern: SSL Cert Expiry
INC-2026-1697,17-07-2026 00:31,Equitas,Production,Network issue,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v3.3.0 in APAC.,Network issue,Users unable to access the application; 502/504 at edge. Metric: p95 latency 1200ms.,P2,AppDynamics Alert,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,4m,3 Hr,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,apac,v3.3.0,incident",upstream connect error or disconnect/reset before headers. reset reason: connection failure,SRE Team A,,https://companywiki/postmortems/inc-2026-1697,Pattern: DNS / LB Misroute
INC-2025-0106,08-10-2025 03:56,ZenHealth,Production,redis-cache,Degraded performance due to CPU/memory saturation and pod eviction. Observed after v3.2.1 in US.,Infrastructure,High latency and dropped requests; background jobs delayed. Metric: 5xx spike 22%.,P2,SRE Team,Under-provisioned resources + sudden batch load; limits too low for peak hours.,Scaled replicas; increased resource limits; paused batch jobs; rebalanced nodes.,53m,2h 13m,Right-size resources; HPA tuning; schedule batch windows; add saturation alerts.,K8sAutoTuner agent to recommend limits/requests from historical metrics.,"k8s-resource-saturation,infrastructure,redis-cache,us,v3.2.1,incident",CPU throttling high; request latency p95 elevated,DevOps Team A,"INC-2025-1854, INC-2024-1202",,Pattern: K8s Resource Saturation
INC-2025-0425,21-07-2025 10:28,Delta Retail,Production,identity-service,Service outage due to SSL certificate expiration during rolling deployment. Observed after v3.3.2 in US.,Deployment,TLS handshake failures; customers unable to complete login/transactions. Metric: 5xx spike 22%.,P2,SRE Team,Certificate rotation/validation step missing in CI/CD; expired cert deployed.,"Renewed/rotated certificate, reloaded ingress/gateway, validated handshake.",1 Hr,2 Hr,Add automated cert-expiry checks and pre-deploy validation; alert 30 days prior.,,"ssl-cert-expiry,deployment,identity-service,us,v3.3.2,incident",x509: certificate has expired or is not yet valid,PS Team,,https://companywiki/postmortems/inc-2025-0425,Pattern: SSL Cert Expiry
INC-2026-0425,01-10-2026 18:09,HHFL,Staging,Network issue,Service unreachable due to DNS misconfiguration / load balancer target group drift. Observed after v4.0.0 in EU.,Network issue,Users unable to access the application; 502/504 at edge. Metric: 5xx spike 22%.,P1,Synthetic Monitor,DNS record change not propagated / LB target group missing new nodes after deploy.,Reverted DNS; refreshed LB targets; validated health checks; cleared caches.,19m,1 Hr,Change freeze guardrails; DNS validation pipeline; automated LB target reconciliation.,NetRouteAgent to validate DNS/LB changes pre-merge; auto-run synthetic checks.,"dns-/-lb-misroute,network-issue,eu,v4.0.0,incident",,Platform Team,,,Pattern: DNS / LB Misroute
INC-2026-0982,18-10-2026 05:41,Delta Retail,Production,payment-gateway-service,Upstream dependency degraded causing increased failures and retries. Observed after v4.0.0 in EU.,Third-party,Partial failures; slow transactions; increased error rates. Metric: 5xx spike 22%.,P1,Synthetic Monitor,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,43m,3 Hr,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,DependencyWatch agent to detect upstream degradation and auto-adjust retries.,"third-party-api-degradation,third-party,payment-gateway-service,eu,v4.0.0,incident",Upstream timeout calling vendor API after 10s,DevOps Team A,"INC-2025-1789, INC-2025-0106",,
INC-2026-1915,11-09-2026 13:24,Equitas,Production,db-cluster-3,Increased latency and intermittent 500 errors due to exhausted DB connection pool. Observed after v3.2.1 in EU.,Database,Requests time out; partial outages for read/write paths. Metric: 5xx spike 22%.,P1,PS Team,Traffic spike + leak in connection handling after latest release; pool size too small.,Hotfix to close connections; increased pool; scaled DB; restarted affected pods.,23m,1h 51m,Load test; connection leak detection; set SLO alerts on pool utilization.,,"db-connection-pool-exhaustion,database,db-cluster-3,eu,v3.2.1,incident","HikariPool-1 - Connection is not available, request timed out after 30000ms",Platform Team,,https://companywiki/postmortems/inc-2026-1915,Pattern: DB Connection Pool Exhaustion
INC-2026-1919,14-03-2026 08:33,ABC Financials,DR,mobile-backend,Login failures after configuration change; token validation mismatch. Observed after v4.0.0 in MEA.,Deployment,All or subset of users unable to login; elevated 401/403. Metric: p95 latency 1200ms.,P3,Prometheus Alert,Misconfigured OAuth client settings / wrong JWKS URL / rotated keys not synced.,Rolled back config; synced keys; corrected client settings; reissued tokens.,18m,4 Hr,Config change review; canary validation; contract tests for auth flows.,AuthConfigLint agent to validate OAuth/JWT config and run canary login tests.,"auth-token-/-config-regression,deployment,mobile-backend,mea,v4.0.0,incident",JWT signature verification failed,Platform Team,,https://companywiki/postmortems/inc-2026-1919,Pattern: Auth Token / Config Regression
INC-2026-0527,09-09-2026 18:27,Kappa Insurance,Production,api-gateway,Upstream dependency degraded causing increased failures and retries. Observed after v4.0.0 in US.,Third-party,Partial failures; slow transactions; increased error rates. Metric: memory 95%.,P2,Synthetic Monitor,Vendor incident / rate limiting; our retry policy too aggressive.,Enabled circuit breaker; reduced retry; used fallback; contacted vendor support.,18m,2 Hr,Tune retries; add vendor SLO monitoring; implement bulkhead isolation.,,"third-party-api-degradation,third-party,api-gateway,us,v4.0.0,incident",CircuitBreakerOpenException: calls not permitted,DevOps Team B,,https://companywiki/postmortems/inc-2026-0527,
